,VWAP
2024-02-06,493.9100036621094
2024-02-07,496.30999755859375
2024-02-08,497.8100891113281
2024-02-09,498.6199951171875
2024-02-12,501.260009765625
2024-02-13,494.2300109863281
2024-02-14,496.94000244140625
2024-02-15,499.489990234375
2024-02-16,501.5299987792969
2024-02-20,497.8900146484375
2024-02-21,495.55999755859375
2024-02-22,503.3900146484375
2024-02-23,509.3584899902344
2024-02-26,508.360107421875
2024-02-27,506.5899963378906
2024-02-28,505.5400085449219
2024-02-29,508.2200012207031
2024-03-01,509.45001220703125
2024-03-04,512.1998291015625
2024-03-05,510.2699890136719