,Symbol,Rironkabuka
0,7203,3418
1,8306,1101
2,6758,1665
3,6501,2516
4,6861,39255
5,9983,32989
6,7974,4556
7,8316,2189
8,9432,201
9,4519,7163
10,6098,6511
11,8058,3702
12,8766,4547
13,9984,9774
14,8001,9033
15,8035,35882
16,9434,179
17,9433,3053
18,7011,1221
19,8411,2302
20,4063,6286
21,8031,4218
22,2914,4293
23,4568,2516
24,7267,2023
25,4502,3242
26,7741,13870
27,6503,2620
28,6702,2477
29,3382,1574
30,9613,2648
31,7182,1323
32,8725,3390
33,4661,1253
34,6857,7779
35,6902,3116
36,6201,14310
37,6701,1885
38,8002,1914
39,6367,15794
40,8630,4192
41,8053,5936
42,7751,5931
43,5108,6225
44,6301,5430
45,4543,1721
46,6178,1324
47,4901,3355
48,8801,1024
49,8750,635
50,6981,1799
51,6752,2087
52,6146,32913
53,8267,1520
54,4689,380
55,4578,9036
56,6954,3049
57,7269,3591
58,9020,2517
59,6273,53751
60,4307,4432
61,2802,1144
62,6594,2708
63,1925,7115
64,8591,3491
65,6723,1030
66,8802,2074
67,8015,5658
68,7832,3203
69,6762,1268
70,5401,5483
71,9022,6457
72,2502,1820
73,4452,4156
74,7532,3144
75,8308,652
76,8309,2468
77,9766,11829
78,4684,3950
79,8830,5500
80,8604,747
81,6971,1817
82,4612,1003
83,4503,900
84,9735,4661
85,9101,7648
86,1605,8601
87,7936,3538
88,4716,18738
89,1928,5584
90,4091,4950
91,7733,1587
92,8113,1035
93,3659,2755
94,5802,4050
95,4507,4054
96,7013,7838
97,7270,7163
98,6326,2666
99,6988,3439
100,9104,6535
101,9531,4538
102,9503,3297
103,5020,1290
104,4755,190
105,9697,3156
106,1812,3518
107,9843,14933
108,2503,3082
109,9435,26554
110,7309,14678
111,8697,173
112,3402,983
113,5803,6799
114,8795,1914
115,3064,2014
116,1802,1830
117,6869,1854
118,8136,6826
119,7012,5416
120,9021,3340
121,8593,996
122,2587,6020
123,1801,6115
124,9532,4844
125,7259,3014
126,4704,7885
127,7453,3091
128,3092,2563
129,2801,1172
130,9202,3421
131,9719,3204
132,6383,3056
133,3407,1686
134,9502,2745
135,2413,1321
136,9107,2563
137,7550,6096
138,7202,3728
139,8601,775
140,9602,4130
141,6920,33151
142,7201,314
143,9201,3688
144,6532,10508
145,6586,4106
146,3088,3014
147,285A,10453
148,8473,2976
149,4151,2025
150,7911,4455
151,5929,5705
152,5838,1243
153,6361,2665
154,3003,1836
155,7181,3008
156,4768,2871
157,1878,25091
158,5019,978
159,9023,1347
160,4523,2782
161,3626,4131
162,9684,4711
163,1803,1194
164,4188,1270
165,7186,646
166,7912,2822
167,9005,1670
168,7272,2713
169,4204,3243
170,7735,19391
171,5411,2321
172,7701,2566
173,3038,2632
174,2875,12498
175,9024,1574
176,9042,4429
177,2267,2921
178,5334,8775
179,2897,3121
180,4911,1034
181,6305,6942
182,8331,920
183,5201,6937
184,9143,1627
185,6504,9135
186,2269,3771
187,6841,3821
188,5713,4503
189,7752,1656
190,1911,11542
191,5831,1255
192,6506,2828
193,6479,2436
194,2702,5475
195,4324,2107
196,3635,1992
197,9404,3914
198,9009,1351
199,3099,2167
200,6967,2438
201,6465,4764
202,3231,1082
203,1773,0
204,9401,4866
205,4732,2150
206,4784,509
207,6645,4041
208,3289,1505
209,1944,4467
210,8227,12227
211,3288,15200
212,8354,2702
213,8439,1951
214,5016,1021
215,2670,4262
216,2768,5861
217,3197,980
218,3349,4907
219,6525,2967
220,4751,769
221,2327,2911
222,4528,2311
223,6845,1142
224,4062,3496
225,4816,1940
226,4676,2803
227,3563,3137
228,5844,1972
229,9147,3084
230,9064,1545
231,2212,3157
232,3861,926
233,9501,343
234,8572,591
235,5332,3653
236,7167,544
237,4042,3862
238,5406,3220
239,3769,4039
240,8905,1864
241,6460,3052
242,6448,3762
243,7211,728
244,6724,2380
245,9508,2312
246,7747,1774
247,9142,4331
248,8253,4208
249,2181,434
250,1942,3804
251,2501,2307
252,7649,3359
253,3405,3018
254,4183,4983
255,8060,6838
256,6370,5582
257,9962,2277
258,4733,4516
259,3086,1783
260,9007,1510
261,4021,6585
262,3291,3474
263,1808,3237
264,8252,1840
265,4005,546
266,6963,1615
267,9041,3183
268,8359,1148
269,5101,9078
270,7261,1588
271,6806,17094
272,7276,2293
273,6417,5089
274,3391,11487
275,8804,2886
276,4403,2914
277,9468,1733
278,4004,2530
279,9989,4787
280,4536,1219
281,5021,12607
282,5444,7799
283,2282,5502
284,9001,2883
285,7163,659
286,2331,1111
287,5947,4631
288,5333,2844
289,9506,2122
290,2371,3300
291,8056,6049
292,2002,2136
293,6753,158
294,3141,2099
295,4527,2112
296,5830,1580
297,3774,2450
298,7951,1193
299,5938,1489
300,5110,3425
301,2871,2130
302,6113,1925
303,8334,869
304,2809,3272
305,9513,3612
306,4812,5245
307,6965,1199
308,4088,3725
309,6481,2809
310,7731,1712
311,2579,1978
312,9706,4624
313,7164,3896
314,6406,3532
315,4912,1463
316,1969,7319
317,5105,6210
318,6028,4486
319,5631,3539
320,4186,4416
321,7459,3490
322,6856,15338
323,9006,1105
324,5233,7829
325,2433,1205
326,5344,43041
327,7564,5303
328,6141,2723
329,3350,106
330,4182,3381
331,9008,4117
332,9533,4182
333,3923,2699
334,9301,942
335,5901,4016
336,6923,4485
337,3697,959
338,4385,1380
339,8111,14423
340,8279,9228
341,4967,3144
342,2229,2862
343,9072,2764
344,1721,4833
345,9418,2287
346,3116,5125
347,3397,1168
348,2784,2388
349,5801,7281
350,9449,1592
351,2222,3757
352,3549,2726
353,1951,2609
354,7337,939
355,9364,4716
356,9831,692
357,6473,1513
358,6302,5037
359,8233,2011
360,4194,9755
361,6368,10673
362,1959,7999
363,7240,3793
364,8341,4425
365,9045,4015
366,9605,6390
367,7282,5280
368,4681,1192
369,8424,5036
370,4613,3376
371,7732,729
372,4666,3047
373,6005,3604
374,9412,1385
375,7729,10514
376,8088,2953
377,3436,1369
378,5991,2979
379,4530,4781
380,9065,8858
381,4506,1343
382,6269,12523
383,8377,2884
384,2726,5289
385,2593,3600
386,7988,7110
387,9048,2174
388,9076,3027
389,4202,2241
390,6526,1093
391,2432,3315
392,4980,2800
393,6544,2703
394,6324,624
395,5393,7910
396,4203,4419
397,6436,5006
398,4922,5164
399,3132,2300
400,7180,686
401,8129,3871
402,9336,2903
403,6976,2050
404,8012,3915
405,2206,4358
406,5832,1642
407,7984,2833
408,7327,3004
409,6849,1834
410,3387,411
411,6471,787
412,4927,955
413,8410,182
414,8418,1555
415,8304,1750
416,4626,5311
417,6755,1436
418,8425,1028
419,4680,1622
420,9987,5291
421,1963,1280
422,2264,4269
423,7189,2178
424,6268,2119
425,141A,1813
426,7419,6526
427,5711,2575
428,5076,2139
429,8366,5077
430,9069,2012
431,3591,5454
432,6770,1589
433,1860,1016
434,4205,1906
435,7205,375
436,6323,2494
437,5214,5058
438,8174,2666
439,4540,5292
440,7451,6644
441,6592,2918
442,9409,4387
443,8570,1229
444,2810,3393
445,7867,3253
446,9616,3694
447,5714,7086
448,2811,2912
449,1332,1189
450,1719,1823
451,9302,2729
452,9504,1126
453,6674,5431
454,8876,2640
455,4401,4783
456,2607,1680
457,2296,5750
458,3048,1754
459,4443,203
460,1662,1721
461,4114,2254
462,4631,4367
463,3994,598
464,8283,5967
465,5706,7972
466,9759,3810
467,8242,2688
468,1893,1135
469,5463,6422
470,9044,2567
471,1414,6713
472,8358,935
473,2531,1452
474,6728,6355
475,9744,5011
476,7581,3780
477,6952,1191
478,6135,11129
479,9787,4141
480,8273,4833
481,9936,2739
482,7947,2725
483,4118,6040
484,4206,5692
485,4587,3488
486,4902,802
487,5032,8116
488,3107,5216
489,4516,6533
490,6103,4923
491,9303,3074
492,5741,8943
493,2121,3720
494,4478,275
495,9507,2175
496,7105,2166
497,7003,2300
498,8524,536
499,6432,14991
500,7906,2304
501,8022,3701
502,8020,5318
503,8282,1910
504,4686,4428
505,9934,5845
506,2782,2715
507,8086,1419
508,2127,1188
509,3401,1649
510,7956,1469
511,4592,16
512,9003,2702
513,6744,3774
514,4208,4256
515,5301,1245
516,9436,5975
517,8078,12759
518,7994,3769
519,6412,3913
520,5471,1924
521,7762,1115
522,4373,3296
523,9746,4696
524,6454,4692
525,6951,5982
526,2201,3070
527,4272,1736
528,6134,3129
529,4483,1921
530,3046,8933
531,9861,1397
532,5805,10837
533,1949,6383
534,4819,1070
535,8850,8837
536,1417,4038
537,7278,5762
538,8194,3515
539,6754,1525
540,4043,6648
541,3148,4194
542,8381,1106
543,7616,514
544,6995,3445
545,4046,1932
546,1820,5340
547,2815,5832
548,6371,2927
549,2730,2774
550,7313,2497
551,1961,6555
552,9627,6089
553,6507,7651
554,9793,4480
555,6632,1373
556,7966,4582
557,6508,4544
558,2270,3748
559,1980,6955
560,8515,417
561,1941,5761
562,6960,11676
563,2659,3790
564,7148,8149
565,8133,2402
566,8628,238
567,3941,1211
568,290A,137
569,8278,2434
570,1766,17194
571,6707,4475
572,215A,1505
573,7220,2923
574,9601,4702
575,3865,1584
576,1861,5456
577,268A,1123
578,4722,2937
579,4551,3837
580,3222,863
581,7380,4203
582,4544,1774
583,3360,3001
584,7476,2300
585,4665,3456
586,3050,2572
587,9682,6681
588,9869,5924
589,4887,2424
590,8368,619
591,2001,3685
592,9031,2967
593,8848,1504
594,8050,5729
595,6807,3015
596,5191,3582
597,7458,2104
598,8130,4055
599,8698,294
600,4061,2898
601,2337,299
602,5423,2474
603,8803,3197
604,9948,3980
605,2154,2410
606,4547,4310
607,7173,5815
608,8098,4957
609,9166,619
610,6588,3199
611,7716,2130
612,8566,5517
613,4023,3836
614,8919,3553
615,6787,7917
616,8066,4429
617,6136,3031
618,8370,2094
619,6750,2646
620,1833,4188
621,6013,2253
622,1979,3184
623,7744,6265
624,2602,6550
625,4041,3714
626,4045,2067
627,7004,1251
628,5451,7836
629,3110,5332
630,7846,6910
631,7157,1524
632,9025,4550
633,1333,5355
634,7981,3378
635,8714,460
636,9974,10371
637,3765,3119
638,6925,2005
639,6457,4114
640,7242,4840
641,9505,1132
642,9509,1040
643,2124,2063
644,7630,447
645,6407,3350
646,7014,3727
647,8609,716
648,5482,10574
649,6055,2250
650,5930,2665
651,1377,4085
652,4776,6198
653,1950,3922
654,4928,5011
655,8218,5953
656,4634,5222
657,8154,4971
658,2678,1463
659,4095,2175
660,9090,1014
661,4966,13705
662,9882,2298
663,4521,3543
664,7864,4564
665,3105,1321
666,3097,3549
667,8511,833
668,5384,2408
669,7740,9508
670,6966,731
671,6622,7770
672,2317,721
673,6871,4266
674,3880,1039
675,4180,462
676,9348,40
677,7296,5331
678,4553,5175
679,7806,3464
680,7821,2680
681,8585,751
682,9075,4370
683,6736,1829
684,3543,2639
685,5857,2398
686,9830,3687
687,9956,5397
688,3778,860
689,8584,4006
690,4432,3459
691,7485,10734
692,7817,3280
693,1934,2964
694,4628,16029
695,2685,5893
696,8595,3451
697,7222,1012
698,7545,2764
699,7970,2265
700,5253,2869
701,7734,3750
702,2160,13586
703,3186,1733
704,3167,1504
705,7412,46
706,6670,2337
707,9068,10331
708,8367,3728
709,1890,1232
710,8179,1627
711,6420,4848
712,2928,132
713,2695,1695
714,3569,4024
715,9672,6966
716,4368,5016
717,7611,2582
718,4107,25840
719,3191,2499
720,4914,7965
721,5232,6307
722,9715,5192
723,8522,7182
724,8214,2251
725,1885,2241
726,7512,692
727,7389,2451
728,6395,1689
729,9678,4625
730,8276,3862
731,2379,4417
732,2692,9585
733,1835,5662
734,6523,917
735,7730,1436
736,2175,1448
737,8923,4163
738,9066,7996
739,3498,25352
740,4958,3742
741,9603,913
742,3863,1002
743,3087,3215
744,7516,8293
745,9960,5659
746,8051,1281
747,7552,6659
748,6890,4187
749,7283,3027
750,6472,247
751,6947,3504
752,1419,1178
753,2791,9334
754,8871,3416
755,6516,13162
756,9832,1999
757,7976,3217
758,8616,532
759,4694,3518
760,8153,2195
761,6315,1746
762,2281,2818
763,2767,3948
764,6651,4154
765,6036,6079
766,9757,4428
767,6703,1962
768,1515,8419
769,9708,294
770,8117,4349
771,8097,2550
772,7943,4034
773,2384,4390
774,1946,1907
775,9010,1836
776,8131,2495
777,9267,3784
778,9722,15248
779,4985,3576
780,9699,6686
781,3106,7125
782,8219,3638
783,7595,6917
784,1884,2748
785,9119,1267
786,7381,4082
787,9887,2048
788,4617,4127
789,8386,3082
790,2733,5494
791,9842,3089
792,3076,2823
793,1926,4061
794,7599,2620
795,8388,2236
796,8544,666
797,4480,1593
798,8336,2870
799,3433,3191
800,2109,4258
801,9039,4308
802,5449,3106
803,5331,6014
804,9413,4176
805,7739,3770
806,7172,2430
807,2742,7173
808,8600,538
809,1952,3406
810,4413,6902
811,8255,1577
812,5186,4867
813,4534,3678
814,7972,2741
815,6804,3108
816,9663,5348
817,167A,2863
818,8934,5648
819,9347,3020
820,3002,3755
821,6345,1579
822,8198,5409
823,9037,2344
824,5911,3539
825,1968,9747
826,5192,4057
827,5273,10343
828,5703,2552
829,9716,1029
830,9889,1717
831,8361,2017
832,6498,2116
833,4996,1414
834,4559,3113
835,6088,2346
836,8014,8047
837,5975,3671
838,2146,4660
839,8892,1265
840,7685,4129
841,6455,4140
842,2326,9973
843,2585,2453
844,8125,1930
845,4633,3611
846,7575,3001
847,3201,2258
848,8074,8894
849,4974,800
850,2004,4680
851,3993,3085
852,6458,2009
853,5842,1256
854,2590,2059
855,1879,4136
856,7226,3091
857,6590,9555
858,1821,318
859,5161,2531
860,6957,5897
861,3632,457
862,2492,147
863,1720,986
864,6379,2840
865,9070,10396
866,6183,1697
867,7177,360
868,4369,3692
869,5352,5035
870,6486,3321
871,7965,1428
872,2653,2803
873,7224,2189
874,3962,2819
875,5122,5274
876,6351,5613
877,9110,6036
878,8032,1267
879,6332,2679
880,6250,5039
881,3028,2975
882,4189,4749
883,6490,5781
884,2760,3328
885,6425,1072
886,6101,6466
887,6875,5404
888,6254,1247
889,6080,4097
890,9997,1522
891,3341,2078
892,6340,5412
893,8346,323
894,3612,5390
895,2157,2420
896,3762,1867
897,4825,3234
898,6737,2688
899,7839,3593
900,1762,4583
901,2292,3664
902,5310,6541
903,2588,5287
904,186A,49
905,7780,1324
906,4298,2924
907,6459,2116
908,4569,2042
909,5440,3351
910,4099,2573
911,7944,4194
912,6814,4797
913,5943,2137
914,3479,1469
915,4471,6924
916,4290,881
917,9552,3234
918,8057,12583
919,3465,11110
920,2329,555
921,6200,2344
922,9902,3256
923,2220,3979
924,8793,4218
925,9543,1738
926,4293,464
927,6284,8086
928,7513,1168
929,6727,1476
930,4919,3181
931,6366,356
932,2168,2450
933,3480,4832
934,7483,4049
935,7287,2096
936,4975,7810
937,2353,358
938,4071,4352
939,8244,1211
940,3101,995
941,6866,11008
942,7456,6403
943,6996,1483
944,7199,1566
945,7250,2568
946,8360,2407
947,1871,2172
948,1982,4762
949,9692,2968
950,5351,3149
951,5595,159
952,5715,3104
953,6376,2343
954,9729,3301
955,8016,860
956,7979,2147
957,6810,2665
958,4326,1483
959,4849,926
960,9551,2568
961,5011,3166
962,3964,2628
963,9828,8191
964,4565,485
965,3608,1438
966,1882,1648
967,6474,4133
968,4956,1966
969,7421,397
970,1870,2466
971,4216,6162
972,8771,1609
973,2117,3067
974,5727,646
975,3001,2424
976,3445,6353
977,9824,7706
978,2805,4646
979,1663,4690
980,8059,4165
981,7917,6766
982,3636,5613
983,7433,3606
984,5970,3325
985,8818,1336
986,1822,792
987,4044,4412
988,6929,3949
989,6104,3895
990,3302,3164
991,3156,3829
992,6349,2267
993,5195,2789
994,7818,4506
995,8037,4805
996,7130,5857
997,8132,5347
998,7322,2792
999,9621,4336
1000,4746,5990
1001,3034,5054
1002,4028,3732
1003,4384,534
1004,6196,13235
1005,4419,418
1006,9247,4454
1007,6652,2140
1008,6027,1568
1009,6413,1197
1010,9279,3501
1011,6745,4988
1012,3733,28360
1013,2003,7807
1014,7241,1798
1015,8337,1062
1016,7868,692
1017,5851,3241
1018,8877,10925
1019,8079,3304
1020,5988,2225
1021,1976,2196
1022,6278,6180
1023,8043,2108
1024,1965,6517
1025,9536,2558
1026,8160,1277
1027,3661,2456
1028,7958,3497
1029,7826,5889
1030,5036,2133
1031,4687,1822
1032,6463,2676
1033,247A,9197
1034,3687,1860
1035,9474,1060
1036,1723,9576
1037,2613,3616
1038,3668,552
1039,9790,5817
1040,6282,3282
1041,6287,4309
1042,6209,4443
1043,1407,3557
1044,4549,1315
1045,7915,1765
1046,2681,2763
1047,1518,8209
1048,7931,5147
1049,3854,6188
1050,299A,1729
1051,7447,1995
1052,8159,4253
1053,2752,232
1054,7292,10559
1055,9755,3271
1056,5602,7501
1057,3539,5574
1058,4431,2303
1059,2664,4958
1060,8841,960
1061,6235,2677
1062,1939,1856
1063,2931,165
1064,3491,877
1065,4886,2856
1066,7606,4519
1067,7279,1874
1068,9517,997
1069,6740,1
1070,7085,1084
1071,2208,3037
1072,7184,860
1073,2211,2003
1074,9519,790
1075,4008,8391
1076,5535,273
1077,4997,1080
1078,6908,3573
1079,3443,6334
1080,4481,9970
1081,4848,4354
1082,277A,2364
1083,6741,2021
1084,5946,2832
1085,8167,2431
1086,7350,2592
1087,1852,872
1088,7508,2702
1089,7388,7399
1090,8173,2882
1091,3950,5959
1092,6859,5268
1093,4674,2656
1094,3673,232
1095,4917,1540
1096,1975,3561
1097,8237,758
1098,4526,3753
1099,1799,5090
1100,9310,1598
1101,8200,652
1102,2216,4653
1103,6564,2734
1104,5480,9673
1105,7239,3374
1106,3836,2559
1107,4097,1567
1108,6258,3008
1109,4765,429
1110,6946,2632
1111,2698,703
1112,5889,4052
1113,2734,1313
1114,8613,765
1115,7593,786
1116,4212,3113
1117,7088,2041
1118,3182,1843
1119,3593,3270
1120,9823,8437
1121,6277,5460
1122,6381,2085
1123,9304,4445
1124,9416,2701
1125,5726,1076
1126,4552,295
1127,4365,46746
1128,1379,1821
1129,3151,1710
1130,7860,963
1131,6914,2631
1132,8897,686
1133,2170,1245
1134,7942,2989
1135,4116,5429
1136,3371,3631
1137,3395,2109
1138,6877,7434
1139,3844,2683
1140,6237,3953
1141,3817,9689
1142,9661,631
1143,5290,3455
1144,8084,3685
1145,9164,615
1146,5410,7289
1147,219A,223
1148,2980,3010
1149,197A,1759
1150,6517,4937
1151,6226,5049
1152,3104,8183
1153,6118,1463
1154,9324,2499
1155,5982,5285
1156,3091,2991
1157,4187,3389
1158,8393,2974
1159,2395,1503
1160,7128,2820
1161,3150,7100
1162,9733,2620
1163,4220,2291
1164,3399,11322
1165,6638,3821
1166,8914,2315
1167,9946,847
1168,7613,1857
1169,3663,2150
1170,7995,4690
1171,9900,948
1172,3825,2493
1173,8281,2087
1174,7718,2400
1175,8061,6024
1176,1921,1608
1177,1301,11121
1178,6364,3140
1179,4832,2594
1180,9305,4160
1181,4435,250
1182,3036,2741
1183,7721,2767
1184,8343,2304
1185,3328,2547
1186,6697,1255
1187,6363,2348
1188,5461,3041
1189,8075,3636
1190,3299,5999
1191,3978,2038
1192,2749,1030
1193,1898,1737
1194,8508,512
1195,8392,2368
1196,4343,3463
1197,3496,12834
1198,4894,547
1199,4362,3194
1200,7231,3173
1201,3010,106
1202,2874,1044
1203,4828,9830
1204,6777,12347
1205,9357,2687
1206,9743,1620
1207,9028,8637
1208,9928,3219
1209,4477,90
1210,7504,3099
1211,262A,2975
1212,3093,3848
1213,2226,4738
1214,319A,1151
1215,8163,694
1216,3458,2344
1217,9534,1780
1218,5445,20136
1219,8345,2784
1220,5184,9291
1221,6620,561
1222,7246,932
1223,6333,4187
1224,4417,8333
1225,3232,826
1226,4047,1114
1227,3198,1890
1228,2790,2400
1229,4221,5836
1230,8715,449
1231,8707,3892
1232,1786,408
1233,4820,578
1234,7803,686
1235,1888,4888
1236,9511,1080
1237,3431,1735
1238,6099,1500
1239,3679,921
1240,6419,9450
1241,4475,1229
1242,2908,2046
1243,7408,1670
1244,3245,4131
1245,9369,1815
1246,4931,3511
1247,4449,569
1248,7366,1637
1249,6630,398
1250,3540,1061
1251,8399,885
1252,5302,7166
1253,4719,4896
1254,8739,2881
1255,2288,3061
1256,7745,4698
1257,4971,4369
1258,6524,2984
1259,4323,2184
1260,4641,4815
1261,2986,13833
1262,4109,4410
1263,8929,2437
1264,5208,1720
1265,8387,1009
1266,9438,598
1267,6937,1648
1268,3252,4220
1269,3133,17
1270,3196,2152
1271,7874,1044
1272,7990,3352
1273,9052,2180
1274,6941,5942
1275,8706,1486
1276,4246,1228
1277,8344,1477
1278,2053,2366
1279,6905,1152
1280,9081,4405
1281,4337,960
1282,6644,1481
1283,2792,4190
1284,9467,2439
1285,6023,2076
1286,8157,4304
1287,6339,1242
1288,3983,3787
1289,7921,4794
1290,9274,1213
1291,3946,5509
1292,7071,1107
1293,6143,1300
1294,4165,498
1295,4078,5005
1296,6309,2072
1297,7840,1566
1298,2573,2930
1299,6240,549
1300,7352,329
1301,1929,1401
1302,9639,4886
1303,3932,3814
1304,7383,209
1305,6623,9535
1306,8052,4000
1307,3482,8426
1308,2594,1065
1309,4923,978
1310,6718,4724
1311,1938,3061
1312,6058,3035
1313,7384,1401
1314,1375,874
1315,4718,2948
1316,9632,5064
1317,1899,7848
1318,7095,6860
