Symbol,Perf
FMAT,58.73545155280259
HDV,56.84035142185661
IYK,55.42837571953625
XLB,52.55890164948235
UHT,52.32332984246282
FXG,51.82669227894921
FDL,51.67939805264519
INN,51.58441204655907
DRH,50.922560656954836
VAW,49.529024324286304
VPU,48.83865791277013
UTES,48.65026180759081
VEGI,47.56445431873061
UTSL,47.39831181697155
SPYD,45.38415055661484
IDU,45.05280261336369
YLDE,44.08788535054811
IGF,43.994964778929756
NOBL,42.86995913780582
RSPU,42.36538665442647
XLU,41.09490503577959
HAP,41.07749941497899
EPU,39.90749752265462
PEB,39.8339521152798
FUTY,39.58118447477571
GII,38.78748752477894
BIS,38.31451220890259
QDEF,38.146298198939945
LADR,38.12568021557634
FCPT,38.05060853329163
FTRI,37.32776302278428
GRES,36.6710441667605
EQC,36.66416804067011
CCI,36.427425976570746
LTC,36.38264258738584
RPV,36.326666256638084
UPW,36.297794561469296
LABD,36.23441818344429
FXU,36.2073955412692
FLLV,36.12619560995533
HST,36.10315928531586
RWL,36.10302448751525
DNP,36.02960438910571
LGLV,35.64707102129831
EQL,35.471990397776956
IDX,35.3321234388888
PUI,34.74314440699179
USMF,34.62935614344126
WBIY,34.57393232997856
PFM,34.53121565150926
CDC,34.45871620588183
WY,33.790838636876266
ISRA,33.68387080763102
RHP,33.59080338876144
OUSA,33.56143411947569
CBON,33.42613780438034
DBB,33.367179996381694
JPUS,33.1847737828393
QUS,33.13055371685627
RFDA,32.80264272649037
ROUS,32.52723960803422
DBA,32.34913224259321
ELME,32.29424415360638
EWA,32.28966563984241
UYM,31.75797503864805
IXJ,31.534694186031455
CLDT,31.524774708738004
RSPS,31.35762742846257
HEWU,31.21511597127445
VTV,31.002443409970766
XMMO,30.91642512115033
APLE,30.884236850141285
RSP,30.639975981315008
FTXG,30.627059744232888
XRLV,30.520700777065066
PEAK,30.512305627357925
MFUS,30.50427533671775
XHR,30.481430737363553
BHR,30.036468670094862
RITM,29.95735392695037
RNP,29.67082863911982
PXI,29.516603591642216
SBAC,29.4393454783632
SPHD,29.331342131567947
FSTA,29.25990803542966
VHT,29.217770738098956
ONEV,29.20018049546672
O,29.19010372277386
HR,29.05900403497404
PSCE,28.77604225089664
SPMV,28.736457699424157
FXZ,28.662965464079218
FVD,28.65802914148927
DTD,28.640361276092765
WOOD,28.451072126013337
LVHD,28.287105365183265
FLAU,28.11870574035486
FDVV,28.093877860226016
RTH,28.059684891857216
DLN,28.03603900973522
FHLC,27.978609404721965
DOC,27.81891106024743
FRI,27.643501373079182
DHS,27.609246520425263
QDF,27.601110921992696
SHO,27.418766691354676
FIF,27.40194174578885
PBJ,27.30204866384696
VDC,27.292740768355554
USMV,27.258289331785964
DIVO,27.208340238014657
RYN,27.178059328960046
ICLN,27.129242549734396
GXG,26.857942688152434
VNQ,26.849997256990722
DALT,26.801632749475626
ALX,26.760284133784662
UTF,26.726461190298657
IXC,26.621351357301872
LRGF,26.576604902262567
JXI,26.541538813086785
FNK,26.523829842185393
TPYP,26.501212248623304
FTAG,26.478910332837675
SDY,26.442237608457123
WSR,26.38614346453549
ICF,26.377604585974957
IYM,26.363413164448847
USRT,26.35768397597776
PSA,26.15424999138914
HT,26.148104455368788
IYR,26.145426466103224
FEN,26.058868184296312
RLJ,26.04523398985268
FSP,26.042811595189526
XYLD,26.039189626552986
GCOW,25.959676285947094
GUSH,25.9594168364516
GCV,25.888734495759945
YPS,25.815080465262454
CLPR,25.788130908842827
PLD,25.753726978710866
POWA,25.705396773819317
GUNR,25.68712196058026
IVE,25.40327109134333
HUSV,25.258147214170716
XLV,25.22707544004891
SYLD,24.967969689406114
IWS,24.848103768099516
XOP,24.73919112831309
COM,24.647247821798487
IGE,24.64213210498358
FCG,24.421472854069766
IGR,24.31874746635111
FREL,24.301194041733783
CLRG,24.27891446569292
FAB,24.18555287770626
PALL,24.16086615417446
IYH,24.107306799332218
SPYV,24.08968687309124
SPLV,24.07208108595955
DEW,24.02221644561481
ILCV,23.989152638696638
IHF,23.957986894602705
TOLZ,23.886327344911212
ERH,23.845070862318742
WELL,23.79878930358724
XLRE,23.709365342638844
REXR,23.700296184655365
CFO,23.63522852668128
FV,23.6128047339483
FDRR,23.54215379619644
EIS,23.53025713134184
VOE,23.41536610073234
PWV,23.390953878107677
HTD,23.274796094520752
ECH,23.223604758642303
FTXH,23.13935029824775
QMOM,23.137710698352215
EIDO,23.095737495203466
EPP,23.044732870605877
XMLV,23.036045644009267
CDL,22.969489164080922
RSPM,22.968039143350264
RDIV,22.796772006280296
PGAL,22.793239043319673
ASEA,22.75830845259364
TAN,22.74351294984816
GQRE,22.62481302868116
IUSV,22.574240839561092
NHI,22.529524832349786
AGNG,22.43764992230297
VIG,22.386323784316573
PSR,22.27460682907937
KMF,22.197780527796567
XSHD,22.18387225906689
DIG,22.138850155162555
VOOV,22.106956265342316
DEUS,22.10301671892108
CFA,22.01987011471111
FDLO,21.88328174116479
NANR,21.79295855360574
VSDA,21.791322231226644
PEY,21.77216300802243
REET,21.744381987309627
ERX,21.70165199202204
KBWP,21.697107072425514
PEO,21.688464969117796
DGRO,21.686625122829863
PSI,21.679092498133596
IJS,21.64086340125676
ARE,21.582300871396544
IVOV,21.5387173215002
SMDV,21.410495884001577
DVY,21.40354354866785
SMMV,21.373548700652414
UMI,21.336332839459367
SPXT,21.327959118061322
MGV,21.22918342777572
SPMO,21.16806965282228
DIA,21.152889050805836
THW,21.147163747251163
BDJ,21.14716068845176
VIXM,20.951995221668202
PXE,20.926314724154565
SCHH,20.909332155604776
GNL,20.83453272438377
IHE,20.806947057483466
DIVB,20.75336077856671
VYM,20.739506030506774
GSSC,20.732579506392995
XLP,20.69104518097998
JPME,20.682607235086415
TRNO,20.659775368528567
SSPY,20.650238086054195
PPH,20.63676609095053
EVX,20.58663111478583
FTQI,20.4703624505565
VONV,20.439974763003026
EPR,20.418045726557146
ERTH,20.390126683622036
COWZ,20.351301435681016
DJD,20.31554062595706
GNR,20.205047085348248
PBD,20.085762271842942
ESGS,20.042028852932805
FTA,20.034348603619783
SPVU,20.02204099330708
SDOG,19.994973312828236
ARCC,19.936387875480435
FITE,19.924128583994047
JHSC,19.90583785759051
BXMT,19.903692284859105
SPDV,19.871114035181698
PBT,19.845986756996545
TBX,19.840805222487923
PCH,19.68791411693553
RLY,19.628177976972374
EMLP,19.586889048965872
MDYV,19.5817360015852
RSPR,19.576885114233473
UTG,19.513339294255605
FXA,19.40736832714024
KIM,19.34615930082052
SLYV,19.324292406581478
FTCS,19.303828348470013
NML,19.300198753757336
VSMV,19.28016857842198
KXI,19.14367077398745
USAI,19.067086113422413
PFXF,19.037577893089303
CTO,18.996830198118527
CPI,18.99352398946733
BPT,18.99313029533146
VLU,18.975620065908775
XLE,18.943400002187296
EMFM,18.90839032219657
BRT,18.90397611623465
CWS,18.902940913394747
ETB,18.85256773690669
IEO,18.851481060778276
FCT,18.7621757559895
IWD,18.75085642841963
CUT,18.709242479648623
PYZ,18.613361529557242
CXW,18.571731120847282
HYGH,18.527170119344127
PUTW,18.5057077786475
DTRE,18.502351906349826
FPI,18.490981315912876
WBIG,18.484898304254244
PJP,18.47814522251848
COMT,18.43848790833372
COMB,18.42616489537643
FUND,18.413243337483628
IVAL,18.350377260202574
PVI,18.30581129514418
ENOR,18.305674466003875
DGRW,18.292304321572136
NNN,18.268741497405493
RNRG,18.260166287513552
SPVM,18.259967440615874
FILL,18.251962417738504
SPIP,18.224381332102165
USPX,18.210902750380704
AFK,18.147649288166427
VEGA,18.126209138301153
ASET,18.12099052067304
USCI,18.117987295783287
EINC,18.10747730262939
RNSC,18.104206215971274
TFLO,18.101564396530225
IRM,18.065744411066675
BTAL,18.04061149070021
PILL,18.020600066309434
MOO,17.978782846355458
JFR,17.961438020793533
LAND,17.93870616580543
NRO,17.915198103225165
MFD,17.901528561982946
SCHV,17.897429346945483
DPG,17.88805831139372
FEX,17.87155705868178
SEVN,17.86435685340877
IJJ,17.849811137916173
SJNK,17.785500888354957
SRLN,17.778158285668507
DIAX,17.741811197882857
GLTR,17.71072821488663
TIP,17.6466333525059
SCHP,17.6466333525059
IWM,17.547044576058845
VTWO,17.547044576058845
HEQ,17.493306472559116
JRI,17.48954349096918
JHML,17.388505814787266
FTDS,17.349759739837577
SMLV,17.337930526692606
HYZD,17.319604187733184
PW,17.26886367175702
VTR,17.264406136984217
QAT,17.259791003891646
FNDX,17.249685752875017
JPST,17.22702002277944
UNIT,17.222194570039445
RFFC,17.210291300000165
RNMC,17.198632071986566
HIE,17.1550578355492
BSJP,17.139060968956525
UE,17.099807144525645
ARCM,17.0785298370111
VIOV,17.0688034620594
TBLL,17.064095684745304
DIV,17.060033904865822
EEMV,17.026106560330152
PSCM,17.00153356530936
NLR,16.975343399379252
BCX,16.930860479465167
EUO,16.91565383726572
EWC,16.89244445950464
TBT,16.826064361282757
BIL,16.810059938628605
WBIL,16.788609418592742
YCS,16.749810502925467
XSD,16.74316559381798
STEW,16.719568551952772
WEAT,16.709496350664246
WPC,16.688112849027576
USFR,16.68328376661253
UDIV,16.68286340218465
JBGS,16.677966813632963
XSLV,16.67614815077627
UNL,16.654830614633617
ROIC,16.653659405148627
VDE,16.640749224091888
NURE,16.63339177595873
FXH,16.63096826053847
RSPG,16.600297251414972
SJT,16.568145905693676
PST,16.542432239759773
TAGS,16.447975350017362
EZA,16.40751125908728
SJB,16.39629236271071
IYE,16.393568258858693
EQAL,16.35163544340703
SOYB,16.341752131642355
MXF,16.33989435279015
SIJ,16.337154899752534
SLG,16.33488430726302
TAIL,16.260286604688048
ISCV,16.185829531310542
MXI,16.18527200404981
OILK,16.162981052665362
PY,16.156786253276348
CURE,16.142065668607678
FMF,16.128919064385457
KNGZ,16.11581906273093
IOR,16.105034593836084
TYO,16.081271747041633
FLMX,16.06616704665101
ZTR,16.05170175297459
IMCV,15.962639818772793
OMFS,15.921464093541243
PGRE,15.910609513055958
IJR,15.909729756323518
GSG,15.879093038593286
PRFZ,15.864783267232463
TYG,15.82697405525513
LVHI,15.82491190493989
SCC,15.801220270771243
SHV,15.781228216562512
GBIL,15.781228216562512
MDIV,15.767656548171905
NXRT,15.722205475598736
GHYB,15.688524309182856
FNDA,15.673351832344785
FENY,15.656556767727537
CRAK,15.642108354356814
EDOW,15.621082228363605
ULVM,15.583540091416737
UUP,15.544315789864536
XTL,15.542481287481879
HDG,15.540805681968354
RWR,15.527461881803212
VBR,15.516650875290717
FNX,15.48350599668024
XES,15.478912548884715
MLPX,15.460612182192362
EWU,15.43818323853794
PFD,15.400920677132259
DDIV,15.399234380383337
WDIV,15.37470372623294
EVV,15.366387222478805
GRPM,15.339473043141421
HYHG,15.293489430144758
BCI,15.27463420535448
DEA,15.271106598963348
EFZ,15.264073629969557
BFS,15.247375140999475
FTSL,15.235556361352508
EZM,15.2235632166012
KRC,15.201837149055367
JQUA,15.192583102264322
IWX,15.190050626029574
PMT,15.18652167227508
IGBH,15.183041342976303
WTV,15.175946031058407
MTR,15.162056935731993
PBP,15.103680309415036
DWAT,15.074729399414379
GAB,15.03042853422479
AIVL,14.990337158249716
EUSA,14.96844708978517
FLRT,14.950408311391708
SCHD,14.942361120311723
FTSM,14.930187800890032
DBE,14.928372410724753
NRT,14.884114438130196
ONEY,14.880657014322509
FLRN,14.87032685382519
QCLN,14.866649301038834
ICSH,14.789146144135897
FLOT,14.785559696858297
FNDB,14.76786783106139
UAE,14.735801989048495
ITA,14.697039362126775
JPSE,14.684172685460164
NDP,14.652494296533735
RWO,14.643893271381454
IGA,14.613427765380589
IVT,14.595472698426605
EWM,14.581890634611511
BRZU,14.574070715252201
AMT,14.557391043561202
BHV,14.449055558597736
ACV,14.408468826507747
THQ,14.406060339483382
RDOG,14.372395786581064
EWT,14.349572142565114
PDT,14.337010830478771
PXJ,14.325467427738149
RODE,14.317779283711008
PBTP,14.300682231507421
CUZ,14.293138476382868
BRW,14.27417040022793
RXL,14.250427816373408
RWJ,14.233293242772259
HYS,14.228063662475494
IVOO,14.20559400349997
UGA,14.205290220919125
KF,14.194876418527036
SPMD,14.186330130048816
IAK,14.183418174447663
CDP,14.177632407816848
REZ,14.162882737894364
BME,14.104212174398997
DLR,14.040139674156714
SHYG,14.022766441460849
UNG,14.006927338214833
DBC,13.991274052571706
FXB,13.954993737480729
FTLS,13.934729823619776
RSPH,13.928438218005207
EUM,13.910505406231609
XME,13.89483045296673
FLBR,13.89483045296673
FBZ,13.89483045296673
UBR,13.89483045296673
FVC,13.887324051862661
BLHY,13.886023554423566
SPPP,13.877535716219384
FEI,13.85133268317487
MEAR,13.814519782931754
MPW,13.798668303733399
PSCC,13.789336610351583
DRN,13.788505309686943
HYLS,13.767904824949813
PRF,13.765605232524088
GNMA,13.760167014320627
CIBR,13.734083997470673
ULST,13.733110354841555
IGD,13.699406990847669
REGL,13.684009325116913
FR,13.673333706476944
BKLN,13.668184641036964
IJH,13.662847416295186
MAGA,13.655606655603753
ACWV,13.652956261505635
EWZ,13.639949498135062
FLN,13.639949498135062
INKM,13.594794556397863
CBH,13.58170882609559
PHDG,13.581236302026781
MDY,13.578257220601742
WFHY,13.554377979074296
HIW,13.546956686031024
CCOR,13.542388463344198
ENFR,13.529859484989487
VIOO,13.528737730974898
USDU,13.488322373257398
SLX,13.483305093806868
JVAL,13.42815400466386
TTP,13.420584610022164
NUGT,13.396385826410164
NTG,13.39625415432694
PBW,13.389137596975932
TDTT,13.380525872159
HYLB,13.379990167660205
RNLC,13.367943069587435
NORW,13.357322406824437
UGE,13.328584304008405
EGPT,13.327272700057
HYG,13.314510712340807
EMO,13.314164545763102
CHIE,13.291460434992072
PDBC,13.263754834926416
TPZ,13.224215465899313
GMRE,13.219251251054288
RWK,13.209197856477978
TDTF,13.20797521810688
FTXN,13.196185169633427
STIP,13.151098889232516
IEZ,13.147485404790073
CYB,13.141285627047855
BBHY,13.1256258504544
DES,13.112197790447595
BUI,13.102984701108067
BCD,13.035203258540193
AFT,13.030537188266907
EELV,13.026736902214886
NULV,13.01891438042267
XMVM,13.000330385668496
QVAL,12.998722530840515
SPXX,12.997454764410922
FLTR,12.994566196230645
NFRA,12.98866729370425
BXMX,12.979151723254697
PAVE,12.958005086458842
VNO,12.9548481869095
BGT,12.950519595870439
CZA,12.950163698677294
VTIP,12.944467435770521
BRX,12.943384183840237
USO,12.924629393740295
CORN,12.922828537612766
FXN,12.90980144236909
USVM,12.896743536252064
HYT,12.89320155565955
SBR,12.88435640504184
PFO,12.881399430375675
VRIG,12.877456432498297
PSQ,12.85980581696211
FPL,12.82298031381781
PSC,12.817008849984283
SDOW,12.81255023375972
RESP,12.80829337566939
EWV,12.800868663033068
RC,12.800729338110779
IWN,12.774960246387284
GOOD,12.759753455283516
JHMM,12.755929466916067
KIE,12.736430588592349
FLQL,12.716188066477509
NUMV,12.715068038870188
FCEF,12.7022318919239
PICK,12.678566094937139
OUT,12.655634680251863
FXO,12.633143877426857
TIPX,12.620240908757257
GRF,12.608081796264399
WBIF,12.606815338194965
OLP,12.60573018427849
FT,12.605034702330165
EFU,12.578111446624344
GSEW,12.576090062432487
RQI,12.574126425583511
FYLD,12.56058522523317
KBND,12.558386837182516
FGD,12.553815236148859
HYXF,12.54916882215352
GSY,12.544202254084993
YLD,12.539877665473417
TDIV,12.520209390274177
DIVI,12.50894013461917
SRET,12.464835783393017
PSET,12.458257830961672
PHYS,12.457035265969962
EQWL,12.454784321577728
HFRO,12.413767995426428
FAAR,12.379731727406242
FTHI,12.377006325116492
EWW,12.344058779989433
FTF,12.340956256494604
BNO,12.330920829009186
SMLF,12.29463920835415
EEMO,12.292840505900543
HEWC,12.271806107472722
KBWY,12.271174655008656
EGP,12.234611403297205
BXP,12.224998524818647
NEAR,12.221802577431594
FTGC,12.219963883002968
DON,12.2169086628404
SACH,12.196395934045574
YXI,12.1667339964219
BFK,12.126204238285728
NMT,12.112609728700306
QWLD,12.1035084730959
VNLA,12.097219464856192
EVT,12.089365271054266
TWM,12.067108367222225
CEF,12.062005714326672
WIP,12.053028480079771
IJT,12.04386626429622
SMMD,12.037733703371247
GYLD,12.026575342856736
OXSQ,12.024865880755009
BSJO,12.024233044968923
CII,12.023850364155015
SMMU,12.004774143889122
DEI,11.998549891379856
STAG,11.996843574658813
CSM,11.988174853734332
EXR,11.98089250471145
TZA,11.969203713412146
SRTY,11.969203713412146
MNA,11.940026730075731
ADC,11.937664263867678
RINF,11.93053858552665
KYN,11.92517423101846
MMTM,11.92342797334197
CEM,11.916403433969988
EQRR,11.910659247454696
SPSM,11.903794634894988
SUI,11.891276317623282
VIOG,11.890685272583259
IDLV,11.889676129894236
DBEU,11.885118513330765
FYX,11.880949877080912
STPZ,11.868565406842189
TBF,11.839804958633472
VLUE,11.827467136141555
OCIO,11.825548544426429
QABA,11.812108939069189
LQDH,11.80683980535452
ONEO,11.795657382035369
VAMO,11.79225963454355
KRE,11.786938620918447
BUFF,11.786066970311346
FLQM,11.782190265421358
NXDT,11.759750392642102
DDWM,11.725240351618394
ETV,11.692082138112552
MMT,11.681844807278154
SMCP,11.670191248072548
GLU,11.661842409469878
IWC,11.660578547991868
SPXN,11.61059913045575
KSA,11.607814161317197
ILF,11.60695725631348
CTR,11.605016784480805
UDN,11.599339116906211
USL,11.597078087564556
DBP,11.584014426296543
MINT,11.571631086801997
MSB,11.568553404881644
ISCB,11.561372903949387
CSF,11.553728077255798
VIXY,11.545967330882522
SLYG,11.532430017714427
VB,11.526472740569242
NMFC,11.526263498017641
DGS,11.50204473056698
QLC,11.483056577246511
URE,11.471604536588023
REMX,11.470755488504317
EDZ,11.462333531903013
LXP,11.457691689863175
THD,11.448437087931351
WHLR,11.433776697422754
SIMS,11.430331461659211
HDAW,11.401560822502448
JLS,11.39950398299181
BSJN,11.395101654614509
FYC,11.370085411516962
STWD,11.354938228154749
LMBS,11.32397973377131
VMOT,11.31782766751337
SIZE,11.315928552249444
XAR,11.304304318430098
CSQ,11.294357286509598
SSG,11.289036635540677
GCC,11.286730853476454
IGHG,11.28644593550358
DXD,11.277548607301389
WTMF,11.273131765902068
BSCN,11.26025044899117
IBDO,11.26025044899117
FEZ,11.256910134569912
PSL,11.24127465814037
FLCA,11.211191608482
SDD,11.206940891260198
QLTA,11.206128511290906
PPA,11.187414644372177
PSCT,11.179093562891426
OMFL,11.174781591348337
HPP,11.161646999617387
VTWV,11.14475873458531
OIH,11.143684633108954
GLD,11.13181870588304
IAU,11.13181870588304
SGOL,11.13181870588304
OUNZ,11.13181870588304
BAR,11.13181870588304
TECS,11.105566946728612
SURE,11.102697070130567
SMOG,11.100343991253181
FTSD,11.098599342379414
CSML,11.062058707962445
PID,11.061322082001114
DFEN,11.059776438571062
EWS,11.057138835204851
SGDM,11.051160470826137
EEV,11.04349877127329
GRX,11.03725663738776
FYT,11.016064649571016
SUB,11.015039870465941
EPHE,11.00689735741788
IDV,11.005988000558
RAVI,10.993526375868045
FXP,10.980847364792888
MDYG,10.976937831080344
AGZD,10.975276839660946
VTEB,10.971251200961937
SPXS,10.930324823425288
HASI,10.926383246113618
CEW,10.907185695749552
SQLV,10.88501781365384
FID,10.878231236947101
ROOF,10.872273420620308
IWR,10.86838691420082
CSA,10.867654431492605
TILT,10.860791379874579
EPS,10.841928319588478
ACRE,10.805959190262977
SELF,10.805701835198667
QYLD,10.794105034121802
IRT,10.789890167882689
IBML,10.767720586897628
NAIL,10.767227978458788
BTT,10.760644724360048
DWAS,10.751251529790204
DBO,10.721468008407559
SPXU,10.698524039660015
ROSC,10.698074972898656
HQH,10.689321470264698
VIDI,10.67432549458934
XHS,10.670935404442615
FVAL,10.66008036701023
BGR,10.650628270569099
CWB,10.638495949909693
DTH,10.630128747644434
REK,10.615485513557518
TUR,10.613123968932575
GDL,10.612031772367686
PIM,10.61147841446098
LSST,10.596042396184743
IGN,10.58617933343059
RVT,10.584755297765824
CSB,10.573647373336428
SPMB,10.564187262975455
SCHM,10.556907260100399
PVL,10.553440944823299
CVY,10.540006752781682
SOXS,10.482768602938124
MAA,10.48266027194795
BDN,10.47635254054496
OUSM,10.476340027700749
UCO,10.466115691323141
XPH,10.46309197207351
JMM,10.45445332491697
FEMS,10.449813379157899
CTRE,10.446354383326485
ELS,10.438849976303409
ALTY,10.432746844374542
JPIB,10.427251136848078
IDE,10.422590311396007
SPHY,10.418931065155862
FFC,10.404260815589435
ISHG,10.375139603381552
HPI,10.373937259876703
MZZ,10.357495766504298
SRC,10.34852109507953
EPV,10.336685138591506
XSVM,10.334875365294225
USHY,10.313828552077094
SRS,10.311353164082123
AHH,10.310658604778329
REG,10.271448087299115
GNT,10.26845436422325
AJXA,10.264687245433898
QID,10.236668378957843
VO,10.23085866873212
FXF,10.211220094694768
FTXL,10.207164933661948
VPV,10.198606860329555
XSHQ,10.195428648730951
SILJ,10.184206530699555
JNK,10.177335134001309
UVXY,10.169082355704013
MRGR,10.16907532053269
SITC,10.164639194689379
RWM,10.161896539756203
SHM,10.150357390045261
IAF,10.147241760303729
FLEU,10.140358284780845
FXC,10.097310345081143
UDR,10.096416554585742
JPC,10.08064235010313
GOEX,10.031736424004714
SOR,10.02523422920113
SH,10.014233824291557
SPDN,10.014233824291557
FQAL,10.013195388820796
SPXL,10.010867790425198
HISF,10.01033991263722
CWI,9.994767150947474
SPGP,9.988645297700865
VUSE,9.984428926500675
RZV,9.938452612938816
VMBS,9.912364500425248
LTL,9.904348646680514
HEFA,9.902838333035408
SLVP,9.90114871256739
SOXL,9.897976875794537
PGZ,9.886712009951497
XT,9.874212627432934
SDS,9.82846245069848
ESS,9.824333570112614
REW,9.82237721349396
GOF,9.804152986803665
TMV,9.746618892015826
PEZ,9.728114117342258
USTB,9.708755345791094
OPI,9.708105080798784
SOXX,9.699492182853637
FLC,9.692905952030165
DFND,9.67006149133793
PHB,9.639401455720403
UMH,9.629401077534403
RPT,9.626274311635417
IAE,9.61697221123954
HYDB,9.606451759895576
CLM,9.599804279457386
FLIY,9.58082347811541
CRF,9.577227479236837
DBEF,9.575209016863262
KNCT,9.566573703278639
TY,9.555924485608143
NMS,9.554919033448074
MIN,9.55077586495654
ETHO,9.539479219591017
NFLT,9.529917539829292
KBWR,9.507263446237685
MBB,9.463563124672726
IVV,9.462249125278742
SPTM,9.449272422478211
MUNI,9.441092179981077
TTT,9.40735381133784
AOD,9.403818996696467
RSPT,9.397603973774116
SQQQ,9.351282043842492
GLPI,9.335471058709569
OBOR,9.31768921784856
ISCG,9.314248437242414
ACSI,9.308360476581678
BFOR,9.30533736927236
SPY,9.298448727816245
VOO,9.298448727816245
SPLG,9.298448727816245
PNNT,9.293236490935607
AAIC,9.289726215370056
LFEQ,9.28672995066716
USD,9.280425377597481
PTMC,9.276662553893436
SNSR,9.275535868879969
QAI,9.262406415358514
KBWD,9.22570238713156
MUB,9.219813788176882
DGRS,9.219391832155647
ADX,9.21788329971678
AOK,9.21656714921922
FLQS,9.203710811829255
RWT,9.203287248611916
SMB,9.195271751850019
MYY,9.191458030181947
SDG,9.189233162852194
SBB,9.178433361869695
AKR,9.165533235906324
CMCT,9.154822394437943
JQC,9.133818636512112
EWI,9.1255168879039
NUDM,9.125146422553938
HDGE,9.112713640743795
EWZS,9.095223830627905
FLEE,9.088330263759392
VRP,9.069488867860054
FPE,9.058680832232485
PTLC,9.044196597667645
USMC,9.042169415481421
NXTG,9.031689515636055
IMCB,9.02004579992943
BKN,9.016903733804943
GAMR,8.998426984054296
SECT,8.949878516333511
MJ,8.938441720758911
SPIB,8.927202321756283
PGP,8.895024597249302
LDUR,8.888744591778426
FAN,8.879012730802703
DVYA,8.873981516703969
GDX,8.86541965278158
RING,8.86541965278158
EMTY,8.85331068756955
EBLU,8.85080370406365
CORR,8.830977206805679
EES,8.825729604747456
IBDQ,8.823753963103506
PSCI,8.815464305944134
EFAS,8.806651570019243
PMX,8.804780737538385
BOIL,8.784989317078393
EEMD,8.784333211463759
SEF,8.78275959502982
FGB,8.778736738109103
PRN,8.751880304281745
CPER,8.740527637023195
DOG,8.716627799610288
SMH,8.707896706482451
PK,8.687970156118872
UPRO,8.680353614039038
FPA,8.668165564510083
TNA,8.653927944172743
URTY,8.653927944172743
BSCP,8.652843724269687
FLGB,8.634273035529027
RYJ,8.629194676394976
PSCH,8.628799754860232
GDXJ,8.625308454788758
DFP,8.618743638029828
GBF,8.588376117239841
HDEF,8.581948896675215
JRS,8.570188616065884
JNUG,8.552120427735508
IJK,8.546461741480766
TIPZ,8.530931714809189
PBE,8.529980601049898
EFA,8.49283308017507
FLTW,8.491891180401486
BBP,8.473551722237643
SZK,8.466676542136199
PSCU,8.465443124933161
EQR,8.449503919634843
IIPR,8.448128562736732
UGL,8.440087642757803
EAD,8.43495841127874
GRID,8.43464928604429
DDLS,8.42536771086963
BSCO,8.414684399052195
IBDP,8.414684399052195
RBLD,8.409543363311204
IDMO,8.398663753083381
IIF,8.397391725056613
